Komentar,Username,Like,Sentimen,cleaning,case_folding,token,stopword,stemming
Ingat Bro..ubah cara pandang mu terhadap NKRI. Bahwa Dunia Butuh Indonesia ❤❤❤,@athilahkhaira979,0,Netral,Ingat Broubah cara pandang mu terhadap NKRI Bahwa Dunia Butuh Indonesia,ingat broubah cara pandang mu terhadap nkri bahwa dunia butuh indonesia,"['ingat', 'broubah', 'cara', 'pandang', 'mu', 'terhadap', 'nkri', 'bahwa', 'dunia', 'butuh', 'indonesia']","['ingat', 'broubah', 'cara', 'pandang', 'mu', 'terhadap', 'nkri', 'bahwa', 'dunia', 'butuh', 'indonesia']",ingat broubah cara pandang mu hadap nkri bahwa dunia butuh indonesia
Komparasi real dg negara2 yg relate sangat membantu pemahaman masyarakat awam👍,@JustEntpurposeo,0,Positif,Komparasi real dg negara yg relate sangat membantu pemahaman masyarakat awam,komparasi real dg negara yg relate sangat membantu pemahaman masyarakat awam,"['komparasi', 'real', 'dg', 'negara', 'yg', 'relate', 'sangat', 'membantu', 'pemahaman', 'masyarakat', 'awam']","['komparasi', 'real', 'dg', 'negara', 'yg', 'relate', 'sangat', 'membantu', 'pemahaman', 'masyarakat', 'awam']",komparasi real dg negara yg relate sangat bantu paham masyarakat awam
"SELL SINGAPORE AJA BIAR,JGN LIBURAN KE SINGAPORE BNYK UANG KORUPTOR DISANA",@AldyPurnomo-z2y,0,Netral,SELL SINGAPORE AJA BIARJGN LIBURAN KE SINGAPORE BNYK UANG KORUPTOR DISANA,sell singapore aja biarjgn liburan ke singapore bnyk uang koruptor disana,"['sell', 'singapore', 'aja', 'biarjgn', 'liburan', 'ke', 'singapore', 'bnyk', 'uang', 'koruptor', 'disana']","['sell', 'singapore', 'aja', 'biarjgn', 'liburan', 'singapore', 'bnyk', 'uang', 'koruptor', 'disana']",sell singapore aja biarjgn libur singapore bnyk uang koruptor sana
InsyaAllah Indonesia sangat baik bsik saja... Yakinlah Alloh SWT tdk tidur dalam serangan² media influenser g bertanggung jawab... Bravo NKRI... JANCURKAN MSCI,@edyhariprasetyo2905,0,Positif,InsyaAllah Indonesia sangat baik bsik saja Yakinlah Alloh SWT tdk tidur dalam serangan media influenser g bertanggung jawab Bravo NKRI JANCURKAN MSCI,insyaallah indonesia sangat baik bsik saja yakinlah alloh swt tdk tidur dalam serangan media influenser g bertanggung jawab bravo nkri jancurkan msci,"['insyaallah', 'indonesia', 'sangat', 'baik', 'bsik', 'saja', 'yakinlah', 'alloh', 'swt', 'tdk', 'tidur', 'dalam', 'serangan', 'media', 'influenser', 'g', 'bertanggung', 'jawab', 'bravo', 'nkri', 'jancurkan', 'msci']","['insyaallah', 'indonesia', 'sangat', 'baik', 'bsik', 'saja', 'yakinlah', 'alloh', 'swt', 'tdk', 'tidur', 'dalam', 'serangan', 'media', 'influenser', 'g', 'bertanggung', 'jawab', 'bravo', 'nkri', 'jancurkan', 'msci']",insyaallah indonesia sangat baik bsik saja yakin alloh swt tdk tidur dalam serang media influenser g tanggung jawab bravo nkri jancurkan msci
"prediksi om ben di secret level terkait review msci ditunda beneran terjadi 

ga masuk akal padahal penilaian kita termasuk yang bagus di EM",@isinyarandom8287,0,Positif,prediksi om ben di secret level terkait review msci ditunda beneran terjadi ga masuk akal padahal penilaian kita termasuk yang bagus di EM,prediksi om ben di secret level terkait review msci ditunda beneran terjadi ga masuk akal padahal penilaian kita termasuk yang bagus di em,"['prediksi', 'om', 'ben', 'di', 'secret', 'level', 'terkait', 'review', 'msci', 'ditunda', 'beneran', 'terjadi', 'ga', 'masuk', 'akal', 'padahal', 'penilaian', 'kita', 'termasuk', 'yang', 'bagus', 'di', 'em']","['prediksi', 'om', 'ben', 'secret', 'level', 'terkait', 'review', 'msci', 'ditunda', 'beneran', 'terjadi', 'ga', 'masuk', 'akal', 'padahal', 'penilaian', 'termasuk', 'bagus', 'em']",prediksi om ben secret level kait review msci tunda beneran jadi ga masuk akal padahal nilai masuk bagus em
"Itu aseng lagi bagi2x rejeki, tungguin aja ampe bottom ntar serok lage. Karena market indo ngga bisa short selling ini justru ngasih cuan",@philiphobbies,0,Netral,Itu aseng lagi bagix rejeki tungguin aja ampe bottom ntar serok lage Karena market indo ngga bisa short selling ini justru ngasih cuan,itu aseng lagi bagix rejeki tungguin aja ampe bottom ntar serok lage karena market indo ngga bisa short selling ini justru ngasih cuan,"['itu', 'aseng', 'lagi', 'bagix', 'rejeki', 'tungguin', 'aja', 'ampe', 'bottom', 'ntar', 'serok', 'lage', 'karena', 'market', 'indo', 'ngga', 'bisa', 'short', 'selling', 'ini', 'justru', 'ngasih', 'cuan']","['aseng', 'lagi', 'bagix', 'rejeki', 'tungguin', 'aja', 'ampe', 'bottom', 'ntar', 'serok', 'lage', 'market', 'indo', 'ngga', 'bisa', 'short', 'selling', 'justru', 'ngasih', 'cuan']",aseng lagi bagix rejeki tungguin aja ampe bottom ntar serok lage market indo ngga bisa short selling justru ngasih cuan
Tutup mbg&kmp hancurkan singapura,@bayenxzireq,0,Netral,Tutup mbgkmp hancurkan singapura,tutup mbgkmp hancurkan singapura,"['tutup', 'mbgkmp', 'hancurkan', 'singapura']","['tutup', 'mbgkmp', 'hancurkan', 'singapura']",tutup mbgkmp hancur singapura
"Kluarnya investor Singapura gak rugi banyak, bahkan akan untung banyak Indonesia tidak sampai krisis kolep di tinggal Singapura malah investor negara besar berdatangan Rusia cina Jerman bahkan Amerika Serikat tunduk keberanian kebijakan Indonesia menuju kemajuan Indonesia kedepannya akan menjadi pemain inti Indonesia menang banyaknya sumber daya alam dengan di olah sendiri Indonesia tingal menciptakan industri Alustista modern dan energi terbarukan di tambah banyaknya pertanian modern kemakmuran menyeluruh rakyat Indonesia akan terwujud Indonesia selamat tidak ada ketimpangan yang aktif banyak uang yang malas masih bisa dapat makan dari negara populasi rakyat Indonesia selamat",@budibudengg-28,0,Netral,Kluarnya investor Singapura gak rugi banyak bahkan akan untung banyak Indonesia tidak sampai krisis kolep di tinggal Singapura malah investor negara besar berdatangan Rusia cina Jerman bahkan Amerika Serikat tunduk keberanian kebijakan Indonesia menuju kemajuan Indonesia kedepannya akan menjadi pemain inti Indonesia menang banyaknya sumber daya alam dengan di olah sendiri Indonesia tingal menciptakan industri Alustista modern dan energi terbarukan di tambah banyaknya pertanian modern kemakmuran menyeluruh rakyat Indonesia akan terwujud Indonesia selamat tidak ada ketimpangan yang aktif banyak uang yang malas masih bisa dapat makan dari negara populasi rakyat Indonesia selamat,kluarnya investor singapura gak rugi banyak bahkan akan untung banyak indonesia tidak sampai krisis kolep di tinggal singapura malah investor negara besar berdatangan rusia cina jerman bahkan amerika serikat tunduk keberanian kebijakan indonesia menuju kemajuan indonesia kedepannya akan menjadi pemain inti indonesia menang banyaknya sumber daya alam dengan di olah sendiri indonesia tingal menciptakan industri alustista modern dan energi terbarukan di tambah banyaknya pertanian modern kemakmuran menyeluruh rakyat indonesia akan terwujud indonesia selamat tidak ada ketimpangan yang aktif banyak uang yang malas masih bisa dapat makan dari negara populasi rakyat indonesia selamat,"['kluarnya', 'investor', 'singapura', 'gak', 'rugi', 'banyak', 'bahkan', 'akan', 'untung', 'banyak', 'indonesia', 'tidak', 'sampai', 'krisis', 'kolep', 'di', 'tinggal', 'singapura', 'malah', 'investor', 'negara', 'besar', 'berdatangan', 'rusia', 'cina', 'jerman', 'bahkan', 'amerika', 'serikat', 'tunduk', 'keberanian', 'kebijakan', 'indonesia', 'menuju', 'kemajuan', 'indonesia', 'kedepannya', 'akan', 'menjadi', 'pemain', 'inti', 'indonesia', 'menang', 'banyaknya', 'sumber', 'daya', 'alam', 'dengan', 'di', 'olah', 'sendiri', 'indonesia', 'tingal', 'menciptakan', 'industri', 'alustista', 'modern', 'dan', 'energi', 'terbarukan', 'di', 'tambah', 'banyaknya', 'pertanian', 'modern', 'kemakmuran', 'menyeluruh', 'rakyat', 'indonesia', 'akan', 'terwujud', 'indonesia', 'selamat', 'tidak', 'ada', 'ketimpangan', 'yang', 'aktif', 'banyak', 'uang', 'yang', 'malas', 'masih', 'bisa', 'dapat', 'makan', 'dari', 'negara', 'populasi', 'rakyat', 'indonesia', 'selamat']","['kluarnya', 'investor', 'singapura', 'gak', 'rugi', 'banyak', 'bahkan', 'akan', 'untung', 'banyak', 'indonesia', 'tidak', 'sampai', 'krisis', 'kolep', 'tinggal', 'singapura', 'malah', 'investor', 'negara', 'besar', 'berdatangan', 'rusia', 'cina', 'jerman', 'bahkan', 'amerika', 'serikat', 'tunduk', 'keberanian', 'kebijakan', 'indonesia', 'menuju', 'kemajuan', 'indonesia', 'kedepannya', 'akan', 'menjadi', 'pemain', 'inti', 'indonesia', 'menang', 'banyaknya', 'sumber', 'daya', 'alam', 'olah', 'sendiri', 'indonesia', 'tingal', 'menciptakan', 'industri', 'alustista', 'modern', 'energi', 'terbarukan', 'tambah', 'banyaknya', 'pertanian', 'modern', 'kemakmuran', 'menyeluruh', 'rakyat', 'indonesia', 'akan', 'terwujud', 'indonesia', 'selamat', 'tidak', 'ada', 'ketimpangan', 'aktif', 'banyak', 'uang', 'malas', 'masih', 'bisa', 'dapat', 'makan', 'negara', 'populasi', 'rakyat', 'indonesia', 'selamat']",kluarnya investor singapura gak rugi banyak bahkan akan untung banyak indonesia tidak sampai krisis kolep tinggal singapura malah investor negara besar datang rusia cina jerman bahkan amerika serikat tunduk berani bijak indonesia tuju maju indonesia depan akan jadi main inti indonesia menang banyak sumber daya alam olah sendiri indonesia tingal cipta industri alustista modern energi baru tambah banyak tani modern makmur seluruh rakyat indonesia akan wujud indonesia selamat tidak ada timpang aktif banyak uang malas masih bisa dapat makan negara populasi rakyat indonesia selamat
enakan pake kemeja bang,@muhammadhamzah7762,0,Netral,enakan pake kemeja bang,enakan pake kemeja bang,"['enakan', 'pake', 'kemeja', 'bang']","['enakan', 'pake', 'kemeja', 'bang']",enak pake kemeja bang
Anjing² jos soros mana like nya 😂,@ahmadcasab84,0,Netral,Anjing jos soros mana like nya,anjing jos soros mana like nya,"['anjing', 'jos', 'soros', 'mana', 'like', 'nya']","['anjing', 'jos', 'soros', 'mana', 'like', 'nya']",anjing jos soros mana like nya
