Komentar,Username,Like,Sentimen
Ingat Bro..ubah cara pandang mu terhadap NKRI. Bahwa Dunia Butuh Indonesia ❤❤❤,@athilahkhaira979,0,Netral
Komparasi real dg negara2 yg relate sangat membantu pemahaman masyarakat awam👍,@JustEntpurposeo,0,Positif
"SELL SINGAPORE AJA BIAR,JGN LIBURAN KE SINGAPORE BNYK UANG KORUPTOR DISANA",@AldyPurnomo-z2y,0,Netral
InsyaAllah Indonesia sangat baik bsik saja... Yakinlah Alloh SWT tdk tidur dalam serangan² media influenser g bertanggung jawab... Bravo NKRI... JANCURKAN MSCI,@edyhariprasetyo2905,0,Positif
"prediksi om ben di secret level terkait review msci ditunda beneran terjadi 

ga masuk akal padahal penilaian kita termasuk yang bagus di EM",@isinyarandom8287,0,Positif
"Itu aseng lagi bagi2x rejeki, tungguin aja ampe bottom ntar serok lage. Karena market indo ngga bisa short selling ini justru ngasih cuan",@philiphobbies,0,Netral
Tutup mbg&kmp hancurkan singapura,@bayenxzireq,0,Netral
"Kluarnya investor Singapura gak rugi banyak, bahkan akan untung banyak Indonesia tidak sampai krisis kolep di tinggal Singapura malah investor negara besar berdatangan Rusia cina Jerman bahkan Amerika Serikat tunduk keberanian kebijakan Indonesia menuju kemajuan Indonesia kedepannya akan menjadi pemain inti Indonesia menang banyaknya sumber daya alam dengan di olah sendiri Indonesia tingal menciptakan industri Alustista modern dan energi terbarukan di tambah banyaknya pertanian modern kemakmuran menyeluruh rakyat Indonesia akan terwujud Indonesia selamat tidak ada ketimpangan yang aktif banyak uang yang malas masih bisa dapat makan dari negara populasi rakyat Indonesia selamat",@budibudengg-28,0,Netral
enakan pake kemeja bang,@muhammadhamzah7762,0,Netral
Anjing² jos soros mana like nya 😂,@ahmadcasab84,0,Netral
"banyak netizen bocah ngak ngerti cuman ikutan aja jelekin diri sendiri, inferiority complex parah, ya anggap itu 50%, sisanya buzzer soros atau pengkhianat bangsa.",@krisnandihs.8839,0,Negatif
