Komentar,Username,Like
Ingat Bro..ubah cara pandang mu terhadap NKRI. Bahwa Dunia Butuh Indonesia ❤❤❤,@athilahkhaira979,0
Komparasi real dg negara2 yg relate sangat membantu pemahaman masyarakat awam👍,@JustEntpurposeo,0
"SELL SINGAPORE AJA BIAR,JGN LIBURAN KE SINGAPORE BNYK UANG KORUPTOR DISANA",@AldyPurnomo-z2y,0
InsyaAllah Indonesia sangat baik bsik saja... Yakinlah Alloh SWT tdk tidur dalam serangan² media influenser g bertanggung jawab... Bravo NKRI... JANCURKAN MSCI,@edyhariprasetyo2905,0
"prediksi om ben di secret level terkait review msci ditunda beneran terjadi 

ga masuk akal padahal penilaian kita termasuk yang bagus di EM",@isinyarandom8287,0
"Itu aseng lagi bagi2x rejeki, tungguin aja ampe bottom ntar serok lage. Karena market indo ngga bisa short selling ini justru ngasih cuan",@philiphobbies,0
Tutup mbg&kmp hancurkan singapura,@bayenxzireq,0
"Kluarnya investor Singapura gak rugi banyak, bahkan akan untung banyak Indonesia tidak sampai krisis kolep di tinggal Singapura malah investor negara besar berdatangan Rusia cina Jerman bahkan Amerika Serikat tunduk keberanian kebijakan Indonesia menuju kemajuan Indonesia kedepannya akan menjadi pemain inti Indonesia menang banyaknya sumber daya alam dengan di olah sendiri Indonesia tingal menciptakan industri Alustista modern dan energi terbarukan di tambah banyaknya pertanian modern kemakmuran menyeluruh rakyat Indonesia akan terwujud Indonesia selamat tidak ada ketimpangan yang aktif banyak uang yang malas masih bisa dapat makan dari negara populasi rakyat Indonesia selamat",@budibudengg-28,0
enakan pake kemeja bang,@muhammadhamzah7762,0
Anjing² jos soros mana like nya 😂,@ahmadcasab84,0
"banyak netizen bocah ngak ngerti cuman ikutan aja jelekin diri sendiri, inferiority complex parah, ya anggap itu 50%, sisanya buzzer soros atau pengkhianat bangsa.",@krisnandihs.8839,0
Ini hrus dibacah sma yg demo” mlu kerjaannya,@allucky3182,0
Saya setuju Dengan Benix pemikiran nya seperti prof Gema Astronaci ❤ berdasarkan data dan fakta... tp ya masih banyak rakyat dungu otak nasi bungkus lauk tahu bacem suka minum cendol,@leozimets1665,0
"aplikasi singapura perlu dikeluarkan dari indonesia seperti GRAB,SHOPIE,LAZADA",@SaukyIbra,0
Kasi paham ben para antek2 asing,@Revolussioner,0
"Mumpung harga saham lagi anjlok gegara orang² bodoh yg gampang di takut²i orang soros dan antek Singapura, mendingan kita yg waras saatnya beli...mumpung lagih murah😊",@pahreppy,0
Kominfo ga ada fungsi nya. Masa makin kesini makin banyak berita dan konten hoax. Gila kaya ga ada filter nya,@sailormoon3943,0
Monggo cabut. Biar prusahaan indo milik orang indo 🥳 harga turun itu saatnya kulakan 🤑,@denis.setiawn,0
Siapa si msci itu😅,@salfa.petualang,0
Klo gua jadi presidennya....dah gua coret dari wni tu monyet2 yg berfikir 0,@harunmustofa5208,0
Go coin Sama marketchap  mirip bulan??,@erique_charles,0
"wkwkwkw... selalu seru dengar ulasan Om Bennix... (spill donk kaos polo nya beli dimana, keren tuh.. hehehe , ada yang endorse..?) hihihi",@Fung-w8t,0
besok.saham meroket amin,@ferdywijaya3847,1
Suarakan terus kebenaran..bung bennix..terlalu banyak yg tolol di Indonesia.,@despiliang4995,0
👍🙏🇮🇩,@jajangsaepudin-23,0
"Banyak warga Indonesia yg dibayar sm George Soros makanya komennya pada negatif ke negara sendiri. 😂🤣
Maklum lah SDM rendah makanya gampang dibayar yg penting perut kenyang. 🤮😏",@jojo.1896,0
"Cara dapat uang saat ini: tebak2an saham yg akan naik dan turun ditambah frame seolah2 analisa dan fundamental. Kalau tebakan benar maka akan ngmg ""tuh kan saya udh ngmg"", kalau tebakan salah ""itu karena soros, elit global bla bla"". Sayangnya, ada aja orang orang berlagak pintar mempercayainya tanpa mengkritisi",@rakyatbiasa837,0
"Sejak gw ngikutin chanel ini gw jdi semakin yakin klo emiten yg harga sahamnya naik dua kali,  tiga kali lipat di bursa itu hanya mainan.,",@mizukiakira2996,0
"GA MUNGKIN  Morgan Stanley salah  lapor. Data yang mereka kumpulin adalah profesional, terkutip dari real player & real investor. 

HARUSNYA Indonesia baiki diri sendiri secara jujur.",@mahdiismail8853,0
#SELL_SINGAPUR beli Genset dan Baterai A3 Buat Remot Ac Non Karbon...,@joni29927,0
ihsg juli akan 🚀🚀🚀🚀🚀,@solichanahmad,0
Tidak Usah Indonesia kerjasama apapun dengan Singapura tidak ada manfaatnya.,@igedematra7338,0
GUE HIMBAU KE SELURUH BANGSA INDONESIA 278 JUTA RAKYAT INDONESIA UNTUK RAME2 KENCINGIN PULAU SINGAPORE BIAR TENGGELAM....,@saifullahalamsyah7765,1
